Initializing soft prompt...
data/test_DuoRC.ParaphraseRC.pt
{'loss': 1.5813, 'learning_rate': 0.0009560417092619097, 'epoch': 0.18}
{'loss': 1.8382, 'learning_rate': 0.0009557009473182036, 'epoch': 0.18}
{'loss': 1.7599, 'learning_rate': 0.0009553601853744975, 'epoch': 0.18}
{'loss': 1.8857, 'learning_rate': 0.0009550194234307913, 'epoch': 0.18}
{'loss': 1.9605, 'learning_rate': 0.0009546786614870852, 'epoch': 0.18}
{'loss': 1.8881, 'learning_rate': 0.000954337899543379, 'epoch': 0.18}
{'loss': 1.9915, 'learning_rate': 0.0009539971375996729, 'epoch': 0.18}
{'loss': 1.9456, 'learning_rate': 0.0009536563756559667, 'epoch': 0.19}
{'loss': 1.7749, 'learning_rate': 0.0009533156137122606, 'epoch': 0.19}
{'loss': 1.7602, 'learning_rate': 0.0009529748517685544, 'epoch': 0.19}
{'loss': 1.9462, 'learning_rate': 0.0009526340898248484, 'epoch': 0.19}
{'loss': 1.729, 'learning_rate': 0.0009522933278811422, 'epoch': 0.19}
{'loss': 2.0328, 'learning_rate': 0.0009519525659374362, 'epoch': 0.19}
{'loss': 2.0058, 'learning_rate': 0.0009516118039937301, 'epoch': 0.19}
{'loss': 1.7199, 'learning_rate': 0.0009512710420500239, 'epoch': 0.19}
{'loss': 2.0944, 'learning_rate': 0.0009509302801063178, 'epoch': 0.2}
{'loss': 1.8589, 'learning_rate': 0.0009505895181626116, 'epoch': 0.2}
{'loss': 1.6529, 'learning_rate': 0.0009502487562189055, 'epoch': 0.2}
{'loss': 1.7152, 'learning_rate': 0.0009499079942751993, 'epoch': 0.2}
{'loss': 1.7804, 'learning_rate': 0.0009495672323314932, 'epoch': 0.2}
{'loss': 1.7812, 'learning_rate': 0.000949226470387787, 'epoch': 0.2}
{'loss': 1.7936, 'learning_rate': 0.000948885708444081, 'epoch': 0.2}
{'loss': 1.7276, 'learning_rate': 0.0009485449465003748, 'epoch': 0.21}
{'loss': 1.8701, 'learning_rate': 0.0009482041845566687, 'epoch': 0.21}
{'loss': 2.0234, 'learning_rate': 0.0009478634226129627, 'epoch': 0.21}
{'loss': 1.7403, 'learning_rate': 0.0009475226606692565, 'epoch': 0.21}
{'loss': 2.1448, 'learning_rate': 0.0009471818987255504, 'epoch': 0.21}
{'loss': 1.6095, 'learning_rate': 0.0009468411367818442, 'epoch': 0.21}
{'loss': 1.6094, 'learning_rate': 0.0009465003748381381, 'epoch': 0.21}
{'loss': 1.9276, 'learning_rate': 0.000946159612894432, 'epoch': 0.22}
{'loss': 1.8777, 'learning_rate': 0.0009458188509507259, 'epoch': 0.22}
{'loss': 1.8444, 'learning_rate': 0.0009454780890070197, 'epoch': 0.22}
{'loss': 1.8284, 'learning_rate': 0.0009451373270633136, 'epoch': 0.22}
{'loss': 1.7365, 'learning_rate': 0.0009447965651196074, 'epoch': 0.22}
{'loss': 2.0032, 'learning_rate': 0.0009444558031759013, 'epoch': 0.22}
{'loss': 1.9482, 'learning_rate': 0.0009441150412321952, 'epoch': 0.22}
{'loss': 1.6337, 'learning_rate': 0.0009437742792884891, 'epoch': 0.22}
{'loss': 1.7718, 'learning_rate': 0.000943433517344783, 'epoch': 0.23}
{'loss': 1.9467, 'learning_rate': 0.0009430927554010768, 'epoch': 0.23}
{'loss': 1.687, 'learning_rate': 0.0009427519934573708, 'epoch': 0.23}
{'loss': 1.5851, 'learning_rate': 0.0009424112315136646, 'epoch': 0.23}
{'loss': 2.0463, 'learning_rate': 0.0009420704695699585, 'epoch': 0.23}
{'loss': 1.7584, 'learning_rate': 0.0009417297076262523, 'epoch': 0.23}
{'loss': 1.7443, 'learning_rate': 0.0009413889456825462, 'epoch': 0.23}
{'loss': 1.7063, 'learning_rate': 0.00094104818373884, 'epoch': 0.24}
{'loss': 1.8477, 'learning_rate': 0.0009407074217951339, 'epoch': 0.24}
{'loss': 1.7864, 'learning_rate': 0.0009403666598514278, 'epoch': 0.24}
{'loss': 1.5909, 'learning_rate': 0.0009400258979077216, 'epoch': 0.24}
{'loss': 1.9353, 'learning_rate': 0.0009396851359640155, 'epoch': 0.24}
{'loss': 1.8539, 'learning_rate': 0.0009393443740203095, 'epoch': 0.24}
{'loss': 1.8846, 'learning_rate': 0.0009390036120766034, 'epoch': 0.24}
{'loss': 1.6489, 'learning_rate': 0.0009386628501328972, 'epoch': 0.25}
{'loss': 1.7818, 'learning_rate': 0.0009383220881891911, 'epoch': 0.25}
{'loss': 1.9325, 'learning_rate': 0.0009379813262454849, 'epoch': 0.25}
{'loss': 1.6455, 'learning_rate': 0.0009376405643017788, 'epoch': 0.25}
{'loss': 1.928, 'learning_rate': 0.0009372998023580726, 'epoch': 0.25}
{'loss': 1.6347, 'learning_rate': 0.0009369590404143665, 'epoch': 0.25}
{'loss': 1.6441, 'learning_rate': 0.0009366182784706604, 'epoch': 0.25}
{'loss': 1.6716, 'learning_rate': 0.0009362775165269542, 'epoch': 0.25}
{'loss': 1.5666, 'learning_rate': 0.0009359367545832482, 'epoch': 0.26}
{'loss': 1.7591, 'learning_rate': 0.000935595992639542, 'epoch': 0.26}
{'loss': 1.8542, 'learning_rate': 0.000935255230695836, 'epoch': 0.26}
{'loss': 1.7673, 'learning_rate': 0.0009349144687521298, 'epoch': 0.26}
{'loss': 1.6474, 'learning_rate': 0.0009345737068084237, 'epoch': 0.26}
{'loss': 1.6222, 'learning_rate': 0.0009342329448647175, 'epoch': 0.26}
{'loss': 1.9183, 'learning_rate': 0.0009338921829210114, 'epoch': 0.26}
{'loss': 1.7521, 'learning_rate': 0.0009335514209773052, 'epoch': 0.27}
{'loss': 1.7111, 'learning_rate': 0.0009332106590335991, 'epoch': 0.27}
{'loss': 1.6369, 'learning_rate': 0.0009328698970898931, 'epoch': 0.27}
{'loss': 1.8749, 'learning_rate': 0.0009325291351461869, 'epoch': 0.27}
{'loss': 1.7557, 'learning_rate': 0.0009321883732024808, 'epoch': 0.27}
{'loss': 1.6339, 'learning_rate': 0.0009318476112587746, 'epoch': 0.27}
{'loss': 1.8469, 'learning_rate': 0.0009315068493150685, 'epoch': 0.27}
{'loss': 1.8171, 'learning_rate': 0.0009311660873713624, 'epoch': 0.28}
{'loss': 1.6255, 'learning_rate': 0.0009308253254276563, 'epoch': 0.28}
{'loss': 1.7968, 'learning_rate': 0.0009304845634839501, 'epoch': 0.28}
{'loss': 1.8031, 'learning_rate': 0.000930143801540244, 'epoch': 0.28}
{'loss': 1.7601, 'learning_rate': 0.0009298030395965378, 'epoch': 0.28}
{'loss': 1.6558, 'learning_rate': 0.0009294622776528318, 'epoch': 0.28}
{'loss': 1.7902, 'learning_rate': 0.0009291215157091257, 'epoch': 0.28}
{'loss': 1.6896, 'learning_rate': 0.0009287807537654195, 'epoch': 0.28}
{'loss': 1.6834, 'learning_rate': 0.0009284399918217134, 'epoch': 0.29}
{'loss': 1.5983, 'learning_rate': 0.0009280992298780072, 'epoch': 0.29}
{'loss': 1.764, 'learning_rate': 0.0009277584679343011, 'epoch': 0.29}
{'loss': 1.8511, 'learning_rate': 0.0009274177059905949, 'epoch': 0.29}
{'loss': 1.6088, 'learning_rate': 0.0009270769440468889, 'epoch': 0.29}
{'loss': 1.7942, 'learning_rate': 0.0009267361821031827, 'epoch': 0.29}
{'loss': 1.6258, 'learning_rate': 0.0009263954201594767, 'epoch': 0.29}
{'loss': 1.4809, 'learning_rate': 0.0009260546582157705, 'epoch': 0.3}
{'loss': 1.89, 'learning_rate': 0.0009257138962720644, 'epoch': 0.3}
{'loss': 1.7578, 'learning_rate': 0.0009253731343283583, 'epoch': 0.3}
{'loss': 1.5657, 'learning_rate': 0.0009250323723846521, 'epoch': 0.3}
{'loss': 1.5663, 'learning_rate': 0.000924691610440946, 'epoch': 0.3}
{'loss': 1.8296, 'learning_rate': 0.0009243508484972398, 'epoch': 0.3}
{'loss': 1.7963, 'learning_rate': 0.0009240100865535337, 'epoch': 0.3}
{'loss': 1.7471, 'learning_rate': 0.0009236693246098275, 'epoch': 0.31}
{'loss': 1.5887, 'learning_rate': 0.0009233285626661214, 'epoch': 0.31}
{'loss': 1.7785, 'learning_rate': 0.0009229878007224154, 'epoch': 0.31}
{'loss': 1.8912, 'learning_rate': 0.0009226470387787093, 'epoch': 0.31}
{'loss': 1.7509, 'learning_rate': 0.0009223062768350031, 'epoch': 0.31}
{'loss': 1.702, 'learning_rate': 0.000921965514891297, 'epoch': 0.31}
{'loss': 1.7214, 'learning_rate': 0.0009216247529475909, 'epoch': 0.31}
{'loss': 1.7925, 'learning_rate': 0.0009212839910038847, 'epoch': 0.31}
{'loss': 1.6864, 'learning_rate': 0.0009209432290601786, 'epoch': 0.32}
{'loss': 1.634, 'learning_rate': 0.0009206024671164724, 'epoch': 0.32}
