Initializing soft prompt...
data/test_DuoRC.ParaphraseRC.pt
{'loss': 1.6719, 'learning_rate': 0.0009455231930960087, 'epoch': 0.22}
{'loss': 1.4373, 'learning_rate': 0.0009449838187702266, 'epoch': 0.22}
{'loss': 1.7709, 'learning_rate': 0.0009444444444444445, 'epoch': 0.22}
{'loss': 1.6619, 'learning_rate': 0.0009439050701186624, 'epoch': 0.22}
{'loss': 1.4073, 'learning_rate': 0.0009433656957928803, 'epoch': 0.23}
{'loss': 1.5373, 'learning_rate': 0.0009428263214670982, 'epoch': 0.23}
{'loss': 1.5488, 'learning_rate': 0.0009422869471413161, 'epoch': 0.23}
{'loss': 1.5354, 'learning_rate': 0.000941747572815534, 'epoch': 0.23}
{'loss': 1.5175, 'learning_rate': 0.0009412081984897519, 'epoch': 0.24}
{'loss': 1.6166, 'learning_rate': 0.0009406688241639698, 'epoch': 0.24}
{'loss': 1.5371, 'learning_rate': 0.0009401294498381877, 'epoch': 0.24}
{'loss': 1.4498, 'learning_rate': 0.0009395900755124056, 'epoch': 0.24}
{'loss': 1.7014, 'learning_rate': 0.0009390507011866235, 'epoch': 0.24}
{'loss': 1.4867, 'learning_rate': 0.0009385113268608414, 'epoch': 0.25}
{'loss': 1.4596, 'learning_rate': 0.0009379719525350594, 'epoch': 0.25}
{'loss': 1.6364, 'learning_rate': 0.0009374325782092773, 'epoch': 0.25}
{'loss': 1.7144, 'learning_rate': 0.0009368932038834952, 'epoch': 0.25}
{'loss': 1.5611, 'learning_rate': 0.0009363538295577131, 'epoch': 0.25}
{'loss': 1.6033, 'learning_rate': 0.000935814455231931, 'epoch': 0.26}
{'loss': 1.4349, 'learning_rate': 0.0009352750809061489, 'epoch': 0.26}
{'loss': 1.5728, 'learning_rate': 0.0009347357065803668, 'epoch': 0.26}
{'loss': 1.6078, 'learning_rate': 0.0009341963322545846, 'epoch': 0.26}
{'loss': 1.5794, 'learning_rate': 0.0009336569579288025, 'epoch': 0.27}
{'loss': 1.4183, 'learning_rate': 0.0009331175836030205, 'epoch': 0.27}
{'loss': 1.5262, 'learning_rate': 0.0009325782092772384, 'epoch': 0.27}
{'loss': 1.3656, 'learning_rate': 0.0009320388349514563, 'epoch': 0.27}
{'loss': 1.5873, 'learning_rate': 0.0009314994606256742, 'epoch': 0.27}
{'loss': 1.4932, 'learning_rate': 0.0009309600862998921, 'epoch': 0.28}
{'loss': 1.6588, 'learning_rate': 0.00093042071197411, 'epoch': 0.28}
{'loss': 1.5285, 'learning_rate': 0.0009298813376483279, 'epoch': 0.28}
{'loss': 1.3873, 'learning_rate': 0.0009293419633225458, 'epoch': 0.28}
{'loss': 1.7997, 'learning_rate': 0.0009288025889967637, 'epoch': 0.28}
{'loss': 1.5452, 'learning_rate': 0.0009282632146709816, 'epoch': 0.29}
{'loss': 1.453, 'learning_rate': 0.0009277238403451997, 'epoch': 0.29}
{'loss': 1.4738, 'learning_rate': 0.0009271844660194176, 'epoch': 0.29}
{'loss': 1.5449, 'learning_rate': 0.0009266450916936355, 'epoch': 0.29}
{'loss': 1.5302, 'learning_rate': 0.0009261057173678534, 'epoch': 0.3}
{'loss': 1.5968, 'learning_rate': 0.0009255663430420713, 'epoch': 0.3}
{'loss': 1.6018, 'learning_rate': 0.0009250269687162891, 'epoch': 0.3}
