Initializing soft prompt...
{'logging': 1, 'method': 'prompt_tuning', 'model': 'gpt2-large', 'task': 't2t', 'mode': 'train', 'train_set': 'webnlg', 'val_set': 'SQuAD', 'test_set': 'DuoRC.ParaphraseRC', 'model_dir': 'none', 'soft_prompt_path': None, 'n_tokens': 1, 'initialize_from_vocab': True, 'random_range': 0.5, 'bz': 4, 'lr': 0.001, 'epoch': 4, 'optimizer': 'adafactor', 'clip_threshold': 1.0, 'scale_parameter': False, 'relative_step': False, 'warmup_init': False, 'path': 'prompt_tuning/webnlg/gpt2-large/1/2022-03-04-040102'}
{'loss': 1.5141, 'learning_rate': 0.0006694031506545374, 'epoch': 1.32}
{'loss': 1.541, 'learning_rate': 0.0006682937652540493, 'epoch': 1.33}
{'loss': 1.4391, 'learning_rate': 0.0006671843798535612, 'epoch': 1.33}
{'loss': 1.3433, 'learning_rate': 0.000666074994453073, 'epoch': 1.34}
{'loss': 1.4452, 'learning_rate': 0.0006649656090525848, 'epoch': 1.34}
{'loss': 1.5666, 'learning_rate': 0.0006638562236520967, 'epoch': 1.34}
{'loss': 1.6289, 'learning_rate': 0.0006627468382516086, 'epoch': 1.35}
{'loss': 1.5629, 'learning_rate': 0.0006616374528511205, 'epoch': 1.35}
{'loss': 1.4733, 'learning_rate': 0.0006605280674506323, 'epoch': 1.36}
{'loss': 1.5376, 'learning_rate': 0.0006594186820501442, 'epoch': 1.36}
{'loss': 1.6083, 'learning_rate': 0.0006583092966496562, 'epoch': 1.37}
{'loss': 1.5067, 'learning_rate': 0.000657199911249168, 'epoch': 1.37}
{'loss': 1.5119, 'learning_rate': 0.0006560905258486799, 'epoch': 1.38}
{'loss': 1.2277, 'learning_rate': 0.0006549811404481917, 'epoch': 1.38}
{'loss': 1.6919, 'learning_rate': 0.0006538717550477036, 'epoch': 1.38}
{'loss': 1.457, 'learning_rate': 0.0006527623696472155, 'epoch': 1.39}
